  
       XFOIL         Version 6.99
  
 Calculated polar for: cdiffusion_cl_0.7_g_0.0_w_15_0                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.4638   0.04852   0.02699  -0.9748   0.1715   0.0335
  -9.000  -1.2976   0.04432   0.02269  -0.9230   0.1687   0.0339
  -8.000  -1.1342   0.04149   0.01958  -0.8576   0.1278   0.0352
  -6.000  -0.8604   0.03689   0.01470  -0.6783   0.0648   0.0622
  -5.000  -0.7029   0.03572   0.01354  -0.5804   0.0641   0.0723
  -4.000  -0.5751   0.03465   0.01260  -0.4668   0.0637   0.0882
  -3.000  -0.4848   0.03438   0.01227  -0.3358   0.0636   0.0928
  -2.000  -0.3993   0.03415   0.01200  -0.2001   0.0631   0.0939
  -1.000  -0.2400   0.03407   0.01189  -0.0828   0.0621   0.0982
   0.000  -0.0693   0.03414   0.01197   0.0348   0.0598   0.1038
   1.000   0.0953   0.03409   0.01202   0.1567   0.0500   0.1428
   2.000   0.2937   0.03485   0.01276   0.2739   0.0454   0.1439
   3.000   0.4916   0.03592   0.01382   0.3939   0.0445   0.1458
   4.000   0.6904   0.03727   0.01520   0.5157   0.0430   0.1523
   5.000   0.8611   0.03977   0.01772   0.6410   0.0247   0.1585
   6.000   1.0344   0.04289   0.02077   0.7643   0.0153   0.1724
   7.000   1.2232   0.04638   0.02437   0.8845   0.0131   0.1751
   8.000   1.4023   0.05108   0.02915   1.0025   0.0126   0.1758
   9.000   1.5744   0.05716   0.03537   1.1159   0.0120   0.1762
  10.000   1.7299   0.06521   0.04350   1.2225   0.0084   0.1765
  11.000   1.8825   0.07447   0.05297   1.3242   0.0066   0.1766
  12.000   2.0163   0.08616   0.06487   1.4158   0.0060   0.1768
  13.000   2.1387   0.09975   0.07874   1.4990   0.0056   0.1817
  14.000   2.2535   0.11537   0.09474   1.5729   0.0049   0.1946
  15.000   2.3714   0.13440   0.11445   1.6291   0.0044   0.2676
  16.000   2.4737   0.15766   0.13837   1.6659   0.0041   0.3110
  17.000   2.5318   0.18556   0.16667   1.6808   0.0027   0.3168
  18.000   2.5494   0.21616   0.19775   1.6820   0.0023   0.3185
  19.000   2.5695   0.24634   0.22838   1.6838   0.0022   0.3201
  20.000   2.5442   0.28268   0.26531   1.6516   0.0022   0.3268
  21.000   2.5440   0.31627   0.29942   1.6303   0.0021   0.3332
  22.000   2.5104   0.35489   0.33868   1.5792   0.0021   0.3374
  23.000   2.5388   0.38502   0.36922   1.5684   0.0021   0.3553
  24.000   2.5398   0.41939   0.40405   1.5323   0.0021   0.3581
  25.000   2.5074   0.45982   0.44512   1.4605   0.0020   0.3705
